Name,Movie,Year,Cause of Death
Joseph Cotten,Shadow of a Doubt,1943,Impact
Joseph Cotten,Niagara,1953,Drowning
Joseph Cotten,The Last Sunset,1961,Firearms
Joseph Cotten,"Hush...Hush, Sweet Charlotte",1964,Impact
Joseph Cotten,The Money Trap,1965,Firearms
Joseph Cotten,Hellbenders,1967,Firearms
Joseph Cotten,Lady Frankenstein,1971,Impact
Joseph Cotten,The Torture Chamber of Baron Blood,1972,Other
Joseph Cotten,Soylent Green,1973,Blunt Objects
Joseph Cotten,Syndicate Sadists,1975,Firearms
Joseph Cotten,The Perfect Crime,1978,Other
Joseph Cotten,Screamers,1979,Firearms
Joseph Cotten,The Hearse,1980,Strangulation
Bryan Cranston,Dead Space,1991,Knives or Cutting Instruments
Bryan Cranston,Terror Tract,2000,Firearms
Bryan Cranston,Drive,2011,Knives or Cutting Instruments
Bryan Cranston,John Carter,2012,Other
Bryan Cranston,Total Recall,2012,Explosives
Bryan Cranston,Cold Comes the Night,2013,Firearms
Bryan Cranston,Godzilla,2014,Other
Bryan Cranston,Trumbo,2015,Ailment
Bryan Cranston,All the Way,2016,Ailment
Bryan Cranston,Power Rangers,2017,Explosives
Janet Margolin,Morituri,1965,Firearms
Janet Margolin,Last Embrace,1979,Impact
Colin Farrell,Ordinary Decent Criminal,2000,Firearms
Colin Farrell,Minority Report,2002,Firearms
Colin Farrell,Intermission,2003,Firearms
Colin Farrell,Alexander,2004,Other
Colin Farrell,Cassandras Dream,2007,Drowning
Colin Farrell,In Bruges,2008,Firearms
Colin Farrell,Pride and Glory,2008,Blunt Objects
Colin Farrell,The Imaginarium of Dr. Parnassus,2009,Strangulation
Colin Farrell,London Boulevard,2010,Knives or Cutting Instruments
Colin Farrell,Fright Night,2011,Explosives
Colin Farrell,Horrible Bosses,2011,Firearms
Colin Farrell,Saving Mr. Banks,2013,Other
Colin Farrell,Winters Tale,2014,Other
Colin Farrell,Solace,2015,Firearms
Colin Farrell,The Beguiled,2017,Poison
Colin Farrell,Ava,2020,Firearms
Colin Farrell,Voyagers,2021,Other
Rhona Mitra,Get Carter,2000,Narcotics
Rhona Mitra,The Number 23,2007,Knives or Cutting Instruments
Rhona Mitra,Underworld: Rise of the Lycans,2009,Fire
Rhona Mitra,Hard Target 2,2016,Knives or Cutting Instruments
Rhona Mitra,"Game Over, Man!",2018,Knives or Cutting Instruments
Heath Ledger,The Patriot,2000,Knives or Cutting Instruments
Heath Ledger,Monsters Ball,2001,Firearms
Heath Ledger,Ned Kelly,2003,Strangulation
Heath Ledger,The Dark Knight,2008,Other
Heath Ledger,The Imaginarium of Dr. Parnassus,2009,Strangulation
Robin Williams,The World According to Garp,1982,Firearms
Robin Williams,The Adventures of Baron Munchausen,1988,Other
Robin Williams,The Secret Agent,1996,Explosives
Robin Williams,Hamlet,1996,Knives or Cutting Instruments
Robin Williams,What Dreams May Come,1998,Car
Robin Williams,Bicentennial Man,1999,Ailment
Robin Williams,Jakob the Liar,1999,Firearms
Robin Williams,Insomnia,2002,Firearms
Robin Williams,The Final Cut,2004,Knives or Cutting Instruments
Robin Williams,Lee Daniels The Butler,2013,Other
Robin Williams,The Angriest Man in Brooklyn,2014,Other
Jean-Claude Van Damme,Black Eagle,1988,Knives or Cutting Instruments
Jean-Claude Van Damme,Kickboxer 2,1991,Other
Jean-Claude Van Damme,Universal Soldier,1992,Firearms
Jean-Claude Van Damme,Maximum Risk,1996,Impact
Jean-Claude Van Damme,The Order,2001,Knives or Cutting Instruments
Jean-Claude Van Damme,Replicant,2001,Firearms
Jean-Claude Van Damme,Until Death,2007,Firearms
Jean-Claude Van Damme,The Expendables 2,2012,Knives or Cutting Instruments
Jean-Claude Van Damme,Universal Soldier: Day of Reckoning,2012,Knives or Cutting Instruments
Jean-Claude Van Damme,Enemies Closer,2013,Explosives
Jean-Claude Van Damme,Swelter,2014,Knives or Cutting Instruments
Jean-Claude Van Damme,Pound of Flesh,2015,Knives or Cutting Instruments
Channing Tatum,Public Enemies,2009,Firearms
Channing Tatum,Haywire,2011,Firearms
Channing Tatum,Side Effects,2013,Knives or Cutting Instruments
Channing Tatum,G.I. Joe: Retaliation,2013,Explosives
Channing Tatum,This Is the End,2013,Impact
Channing Tatum,The Hateful Eight,2015,Firearms
Alex Pettyfer,Tormented,2009,Other
Alex Pettyfer,Beastly,2011,Firearms
Alex Pettyfer,In Time,2011,Other
Alex Pettyfer,Lee Daniels The Butler,2013,Other
Rob Corddry,Operation: Endgame,2010,Knives or Cutting Instruments
Rob Corddry,Seeking a Friend for the End of the World,2012,Other
Rob Corddry,Warm Bodies,2013,Ailment
Rob Corddry,Pain & Gain,2013,Other
Rob Corddry,Hot Tub Time Machine 2,2015,Firearms
Jim Broadbent,The Passage,1979,Blunt Objects
Jim Broadbent,Richard III,1995,Strangulation
Jim Broadbent,Bright Young Things,2003,Explosives
Jim Broadbent,Art School Confidential,2006,Fire
Jim Broadbent,Longford,2006,Ailment
Jim Broadbent,And When Did You Last See Your Father?,2007,Ailment
Jim Broadbent,The Young Victoria,2009,Ailment
Jim Broadbent,Perriers Bounty,2010,Firearms
Jim Broadbent,The Iron Lady,2011,Ailment
Jim Broadbent,Cloud Atlas,2012,Ailment
Jim Broadbent,King of Thieves,2018,Ailment
Jim Broadbent,Black 47,2018,Firearms
David Bradley,Hot Fuzz,2007,Blunt Objects
David Bradley,Harry Brown,2010,Knives or Cutting Instruments
David Bradley,Captain America: The First Avenger,2011,Firearms
David Bradley,Await Further Instructions,2018,Other
David Bradley,Jolt,2021,Firearms
Larry Cedar,Dreamscape,1984,Knives or Cutting Instruments
Larry Cedar,C.H.U.D. II: Bud the C.H.U.D.,1989,Explosives
Larry Cedar,The Crazies,2010,Firearms
Isabelle Fuhrman,Orphan,2009,Personal Weapons
Isabelle Fuhrman,The Hunger Games,2012,Other
Isabelle Fuhrman,Cell,2016,Other
Isabelle Fuhrman,Down a Dark Hall,2018,Fire
Isabelle Fuhrman,The Last Thing Mary Saw,2021,Firearms
Ryan Reynolds,The Alarmist,1997,Other
Ryan Reynolds,X-Men Origins: Wolverine,2009,Knives or Cutting Instruments
Ryan Reynolds,Buried,2010,Strangulation
Ryan Reynolds,R.I.P.D.,2013,Firearms
Ryan Reynolds,A Million Ways to Die in the West,2014,Firearms
Ryan Reynolds,The Voices,2014,Car
Ryan Reynolds,Criminal,2016,Other
Ryan Reynolds,Life,2017,Other
Ryan Reynolds,Deadpool 2,2018,Personal Weapons
Ryan Reynolds,The Hitmans Wifes Bodyguard,2021,Firearms
Ryan Reynolds,Spirited,2022,Impact
Guy Pearce,Ravenous,1999,Other
Guy Pearce,The Count of Monte Cristo,2002,Knives or Cutting Instruments
Guy Pearce,First Snow,2007,Car
Guy Pearce,Death Defying Acts,2007,Personal Weapons
Guy Pearce,The Hurt Locker,2009,Explosives
Guy Pearce,Seeking Justice,2011,Firearms
Guy Pearce,Prometheus,2012,Ailment
Guy Pearce,Lawless,2012,Firearms
Guy Pearce,Iron Man 3,2013,Explosives
Guy Pearce,Brimstone,2016,Fire
Guy Pearce,Bloodshot,2020,Explosives
Guy Pearce,Without Remorse,2021,Drowning
Guy Pearce,Home and Away,1991,Other
Josh Brolin,The Road Killers,1994,Blunt Objects
Josh Brolin,Mimic,1997,Knives or Cutting Instruments
Josh Brolin,My Brothers War,1997,Other
Josh Brolin,Its the Rage,1999,Firearms
Josh Brolin,Into the Blue,2005,Explosives
Josh Brolin,American Gangster,2007,Firearms
Josh Brolin,Grindhouse,2007,Firearms
Josh Brolin,No Country for Old Men,2007,Firearms
Josh Brolin,Milk,2008,Poison
Josh Brolin,Jonah Hex,2010,Other
Josh Brolin,True Grit,2010,Firearms
Josh Brolin,Men in Black 3,2012,Other
Josh Brolin,Labor Day,2013,Firearms
Josh Brolin,Only the Brave,2017,Fire
Josh Brolin,Avengers: Infinity War,2018,Knives or Cutting Instruments
Josh Brolin,Avengers: Endgame,2019,Knives or Cutting Instruments
Josh Brolin,Doctor Strange in the Multiverse of Madness,2022,Other
Val Kilmer,The Doors,1991,Narcotics
Val Kilmer,Tombstone,1993,Other
Val Kilmer,True Romance,1993,Other
Val Kilmer,The Island of Dr. Moreau,1996,Firearms
Val Kilmer,Hard Cash,2002,Explosives
Val Kilmer,Wonderland,2003,Ailment
Val Kilmer,Alexander,2004,Knives or Cutting Instruments
Val Kilmer,Mindhunters,2004,Knives or Cutting Instruments
Val Kilmer,George and the Dragon,2004,Other
Val Kilmer,Summer Love,2006,Other
Val Kilmer,Delgo,2008,Other
Val Kilmer,Felon,2008,Firearms
Val Kilmer,Hardwired,2009,Firearms
Val Kilmer,The Thaw,2009,Ailment
Val Kilmer,MacGruber,2010,Explosives
Val Kilmer,The Traveler,2010,Firearms
Val Kilmer,5 Days of War,2011,Explosives
Val Kilmer,Wyatt Earps Revenge,2012,Other
Val Kilmer,The Super,2017,Knives or Cutting Instruments
Val Kilmer,The Snowman,2017,Firearms
Val Kilmer,Top Gun: Maverick,2022,Firearms
Joel Edgerton,Ned Kelly,2003,Firearms
Joel Edgerton,Smokin Aces,2006,Firearms
Joel Edgerton,Whisper,2007,Drowning
Joel Edgerton,Acolytes,2008,Knives or Cutting Instruments
Joel Edgerton,Animal Kingdom,2010,Firearms
Joel Edgerton,Legend of the Guardians: The Owls of GaHoole,2010,Knives or Cutting Instruments
Joel Edgerton,The Thing,2011,Fire
Joel Edgerton,It Comes at Night,2017,Ailment
Joel Edgerton,Bright,2017,Firearms
Joel Edgerton,The King,2019,Other
Jim Sturgess,The Other Boleyn Girl,2008,Other
Jim Sturgess,Heartless,2009,Fire
Jim Sturgess,Fifty Dead Men Walking,2008,Firearms
Jim Sturgess,Cloud Atlas,2012,Knives or Cutting Instruments
Jim Sturgess,Kidnapping Mr. Heineken,2015,Other
Ray Winstone,The War Zone,1999,Knives or Cutting Instruments
Ray Winstone,Ripleys Game,2002,Fire
Ray Winstone,Cold Mountain,2003,Firearms
Ray Winstone,The Departed,2006,Firearms
Ray Winstone,The Chronicles of Narnia: Prince Caspian,2008,Ailment
Ray Winstone,Indiana Jones and the Kingdom of the Crystal Skull,2008,Other
Ray Winstone,The Devils Tomb,2009,Firearms
Ray Winstone,13,2010,Firearms
Ray Winstone,Edge of Darkness,2010,Firearms
Ray Winstone,London Boulevard,2010,Firearms
Ray Winstone,Sex & Drugs & Rock & Roll,2010,Other
Ray Winstone,Hugo,2011,Drowning
Ray Winstone,Noah,2014,Knives or Cutting Instruments
Ray Winstone,The Gunman,2015,Firearms
Ray Winstone,Cats,2019,Other
Ray Winstone,Black Widow,2021,Explosives
Michael Gambon,The Beast Must Die,1974,Firearms
Michael Gambon,"The Cook, the Thief, His Wife & Her Lover",1989,Firearms
Michael Gambon,Mobsters,1991,Impact
Michael Gambon,Two Deaths,1995,Firearms
Michael Gambon,Mary Reilly,1996,Ailment
Michael Gambon,The Innocent Sleep,1996,Firearms
Michael Gambon,Plunkett & Macleane,1999,Firearms
Michael Gambon,Sleepy Hollow,1999,Knives or Cutting Instruments
Michael Gambon,Gosford Park,2001,Poison
Michael Gambon,Open Range,2003,Firearms
Michael Gambon,The Good Shepherd,2006,Firearms
Michael Gambon,Brideshead Revisited,2008,Other
Michael Gambon,Harry Potter and the Half-Blood Prince,2009,Impact
Michael Gambon,The Book of Eli,2010,Firearms
Michael Gambon,The Kings Speech,2010,Knives or Cutting Instruments
Michael Gambon,Paddington,2014,Impact
Michael Gambon,Kingsman: The Golden Circle,2017,Explosives
Christopher Lee,Penny and the Pownall Case,1948,Firearms
Christopher Lee,Cross-Roads,1955,Car
Christopher Lee,The Dark Avenger,1955,Knives or Cutting Instruments
Christopher Lee,Beyond Mombasa,1956,Firearms
Christopher Lee,The Curse of Frankenstein,1957,Impact
Christopher Lee,Ill Met by Moonlight,1957,Ailment
Christopher Lee,The Truth About Women,1957,Firearms
Christopher Lee,Battle of the V-1,1958,Strangulation
Christopher Lee,Corridors of Blood,1958,Fire
Christopher Lee,Horror of Dracula,1958,Fire
Christopher Lee,A Tale of Two Cities,1958,Knives or Cutting Instruments
Christopher Lee,The Mummy,1959,Drowning
Christopher Lee,Horror Hotel,1960,Fire
Christopher Lee,The Two Faces of Dr. Jekyll,1960,Other
Christopher Lee,Beat Girl,1960,Knives or Cutting Instruments
Christopher Lee,Hercules in the Haunted World,1961,Other
Christopher Lee,The Terror of the Tongs,1961,Knives or Cutting Instruments
Christopher Lee,The Pirates of Blood River,1962,Knives or Cutting Instruments
Christopher Lee,Horror Castle,1963,Impact
Christopher Lee,The Whip and the Body,1963,Knives or Cutting Instruments
Christopher Lee,The Castle of the Living Dead,1964,Knives or Cutting Instruments
Christopher Lee,The Devil Ship Pirates,1964,Firearms
Christopher Lee,Dr. Terror’s House of Horrors,1965,Other
Christopher Lee,She,1965,Knives or Cutting Instruments
Christopher Lee,The Skull,1965,Other
Christopher Lee,The Face of Fu Manchu,1965,Other
Christopher Lee,Dracula: Prince of Darkness,1966,Drowning
Christopher Lee,Rasputin: The Mad Monk,1966,Impact
Christopher Lee,Circus of Fear,1966,Impact
Christopher Lee,The Torture Chamber of Dr. Sadism,1967,Other
Christopher Lee,Blood Fiend,1967,Drowning
Christopher Lee,Night of the Big Heat,1967,Fire
Christopher Lee,Curse of the Crimson Altar,1968,Fire
Christopher Lee,Dracula Has Risen from the Grave,1968,Knives or Cutting Instruments
Christopher Lee,The Oblong Box,1969,Knives or Cutting Instruments
Christopher Lee,The Bloody Judge,1970,Ailment
Christopher Lee,Count Dracula,1970,Fire
Christopher Lee,Taste the Blood of Dracula,1970,Impact
Christopher Lee,Scars of Dracula,1970,Fire
Christopher Lee,The House That Dripped Blood,1971,Fire
Christopher Lee,"I, Monster",1971,Impact
Christopher Lee,Dracula AD 1972,1972,Knives or Cutting Instruments
Christopher Lee,The Satanic Rites of Dracula,1973,Knives or Cutting Instruments
Christopher Lee,Dark Places,1974,Knives or Cutting Instruments
Christopher Lee,The Man with the Golden Gun,1974,Firearms
Christopher Lee,The Four Musketeers,1974,Knives or Cutting Instruments
Christopher Lee,Dracula and Son,1976,Other
Christopher Lee,"To the Devil, a Daughter",1976,Other
Christopher Lee,Airport 77,1977,Impact
Christopher Lee,1941,1979,Drowning
Christopher Lee,Arabian Adventure,1979,Other
Christopher Lee,The Passage,1979,Fire
Christopher Lee,The Return of Captain Invincible,1983,Impact
Christopher Lee,House of the Long Shadows,1983,Knives or Cutting Instruments
Christopher Lee,Howling II: Your Sister Is A Werewolf,1985,Fire
Christopher Lee,Mio in the Land of Faraway,1987,Knives or Cutting Instruments
Christopher Lee,Murder Story,1989,Strangulation
Christopher Lee,Return of the Three Musketeers,1989,Explosives
Christopher Lee,Gremlins 2: The New Batch,1990,Other
Christopher Lee,The Rainbow Thief,1990,Ailment
Christopher Lee,Tale of the Mummy,1998,Explosives
Christopher Lee,Jinnah,1998,Other
Christopher Lee,The Lord of the Rings: The Return of the King,2003,Knives or Cutting Instruments
Christopher Lee,Crimson Rivers II: Angels of the Apocalypse,2004,Firearms
Christopher Lee,Star Wars Episode III: Revenge of the Sith,2005,Knives or Cutting Instruments
Christopher Lee,Alice in Wonderland,2010,Knives or Cutting Instruments
Christopher Lee,Burke & Hare,2010,Other
Christopher Lee,Season of the Witch,2011,Other
Christopher Lee,The Resident,2011,Knives or Cutting Instruments
Ewan McGregor,The Pillow Book,1996,Narcotics
Ewan McGregor,The Island,2005,Firearms
Ewan McGregor,Stormbreaker,2006,Firearms
Ewan McGregor,Miss Potter,2006,Other
Ewan McGregor,Cassandras Dream,2007,Other
Ewan McGregor,Angels and Demons,2009,Fire
Ewan McGregor,The Ghost Writer,2010,Car
Ewan McGregor,Haywire,2011,Drowning
Ewan McGregor,Jack the Giant Slayer,2013,Other
Ewan McGregor,Jane Got a Gun,2016,Firearms
Ewan McGregor,American Pastoral,2016,Other
Ewan McGregor,Beauty and the Beast,2017,Impact
Ewan McGregor,Christopher Robin,2018,Drowning
Ewan McGregor,Doctor Sleep,2019,Fire
Ewan McGregor,Birds of Prey,2020,Other
Mark Margolis,Scarface,1983,Firearms
Mark Margolis,Delta Force 2: The Colombian Connection,1990,Explosives
Mark Margolis,Tales from the Darkside: The Movie,1990,Car
Mark Margolis,The Pit and the Pendulum,1991,Knives or Cutting Instruments
Mark Margolis,Pi,1998,Ailment
Mark Margolis,The Fountain,2006,Blunt Objects
Mark Margolis,Gone Baby Gone,2007,Firearms
Mark Margolis,Immortals,2011,Fire
Mark Margolis,Noah,2014,Other
Mark Margolis,The Abandoned,2015,Other
Alan Tudyk,Serenity,2005,Knives or Cutting Instruments
Alan Tudyk,3:10 to Yuma,2007,Firearms
Alan Tudyk,Abraham Lincoln: Vampire Hunter,2012,Other
Alan Tudyk,Tell,2014,Firearms
Alan Tudyk,Rogue One,2016,Firearms
Bruce Willis,Sunset,1988,Car
Bruce Willis,Billy Bathgate,1991,Drowning
Bruce Willis,Mortal Thoughts,1991,Knives or Cutting Instruments
Bruce Willis,Death Becomes Her,1992,Ailment
Bruce Willis,Twelve Monkeys,1995,Firearms
Bruce Willis,The Jackal,1997,Firearms
Bruce Willis,Armageddon,1998,Explosives
Bruce Willis,The Sixth Sense,1999,Firearms
Bruce Willis,Hart’s War,2002,Firearms
Bruce Willis,Charlies Angels: Full Throttle,2003,Firearms
Bruce Willis,Sin City,2005,Firearms
Bruce Willis,16 Blocks,2006,Firearms
Bruce Willis,Grindhouse,2007,Firearms
Bruce Willis,Surrogates,2009,Other
Bruce Willis,Catch .44,2011,Firearms
Bruce Willis,Setup,2011,Firearms
Bruce Willis,The Cold Light of Day,2012,Firearms
Bruce Willis,Looper,2012,Firearms
Bruce Willis,The Prince,2014,Firearms
Bruce Willis,Extraction,2015,Firearms
Bruce Willis,Vice,2015,Firearms
Bruce Willis,Marauders,2016,Knives or Cutting Instruments
Bruce Willis,Precious Cargo,2016,Firearms
Bruce Willis,First Kill,2017,Firearms
Bruce Willis,Glass,2019,Drowning
Bruce Willis,Motherless Brooklyn,2019,Firearms
Bruce Willis,Breach,2020,Explosives
Bruce Willis,Deadlock,2021,Firearms
Bruce Willis,Gasoline Alley,2022,Fire
Bruce Willis,Vendetta,2022,Firearms
Bruce Willis,White Elephant,2022,Firearms
Bruce Willis,Wrong Place,2022,Firearms
Bruce Willis,Paradise City,2022,Firearms
Bruce Willis,Assassin,2023,Firearms
Matt Damon,Dogma,1999,Knives or Cutting Instruments
Matt Damon,The Majestic,2001,Other
Matt Damon,The Brothers Grimm,2005,Impact
Matt Damon,The Departed,2006,Firearms
Matt Damon,Elysium,2013,Other
Matt Damon,Interstellar,2014,Explosives
Matt Damon,Suburbicon,2017,Poison
Matt Damon,Thor: Ragnarok,2017,Other
Matt Damon,Avengers: Infinity War,2018,Other
Matt Damon,Ford v Ferrari,2019,Other
Matt Damon,The Last Duel,2021,Other
Nick Offerman,Wristcutters: A Love Story,2006,Firearms
Nick Offerman,Casa De Mi Padre,2012,Firearms
Nick Offerman,The Kings Of Summer,2013,Impact
Nick Offerman,The Founder,2016,Ailment
Nick Offerman,Bad Times at the El Royale,2018,Firearms
Bill Murray,Loose Shoes,1980,Firearms
Bill Murray,Scrooged,1988,Other
Bill Murray,Groundhog Day,1993,Explosives
Bill Murray,Hamlet,2000,Firearms
Bill Murray,Osmosis Jones,2001,Other
Bill Murray,City of Ember,2008,Other
Bill Murray,The Limits of Control,2009,Other
Bill Murray,Zombieland,2009,Firearms
Bill Murray,Ghostbusters,2016,Other
Bill Murray,The Dead Dont Die,2019,Other
Bill Murray,The French Dispatch,2021,Ailment
Bill Murray,Ant-Man and the Wasp: Quantumania,2023,Impact
Jonah Hill,Superbad,2007,Knives or Cutting Instruments
Jonah Hill,Walk Hard: The Dewey Cox Story,2007,Other
Jonah Hill,Django Unchained,2012,Explosives
Jonah Hill,This is the End,2013,Impact
Jonah Hill,Sausage Party,2016,Knives or Cutting Instruments
Jonah Hill,"Dont Worry, He Wont Get Far on Foot",2018,Other
Ethan Hawke,The Newton Boys,1998,Ailment
Ethan Hawke,Hamlet,2000,Firearms
Ethan Hawke,Taking Lives,2004,Knives or Cutting Instruments
Ethan Hawke,One Last Thing...,2005,Other
Ethan Hawke,Brooklyns Finest,2009,Firearms
Ethan Hawke,Staten Island,2009,Other
Ethan Hawke,Sinister,2012,Knives or Cutting Instruments
Ethan Hawke,The Purge,2013,Knives or Cutting Instruments
Ethan Hawke,Predestination,2014,Firearms
Ethan Hawke,Born to Be Blue,2015,Other
Ethan Hawke,The Magnificent Seven,2016,Firearms
Ethan Hawke,24 Hours to Live,2017,Firearms
Ethan Hawke,First Reformed,2017,Knives or Cutting Instruments
Ethan Hawke,The Northman,2022,Knives or Cutting Instruments
Ethan Hawke,The Black Phone,2022,Personal Weapons
Dean Norris,Lethal Weapon 2,1989,Explosives
Dean Norris,Hard to Kill,1990,Firearms
Dean Norris,Remember,2015,Firearms
Dean Norris,The Book Of Henry,2017,Firearms
Ron Perlman,The Name of the Rose,1986,Fire
Ron Perlman,Sleepwalkers,1992,Other
Ron Perlman,The Adventures of Huck Finn,1993,Other
Ron Perlman,Cronos,1993,Impact
Ron Perlman,The City of Lost Children,1995,Impact
Ron Perlman,The Kings Guard,2000,Other
Ron Perlman,Enemy at the Gates,2001,Firearms
Ron Perlman,Blade II,2002,Knives or Cutting Instruments
Ron Perlman,Star Trek Nemesis,2002,Impact
Ron Perlman,Looney Tunes: Back in Action,2003,Other
Ron Perlman,5ive Girls,2006,Knives or Cutting Instruments
Ron Perlman,In the Name of the King: A Dungeon Siege Tale,2007,Knives or Cutting Instruments
Ron Perlman,The Spiderwick Chronicles,2008,Explosives
Ron Perlman,I Sell the Dead,2008,Blunt Objects
Ron Perlman,Mutant Chronicles,2008,Knives or Cutting Instruments
Ron Perlman,Outlander,2008,Knives or Cutting Instruments
Ron Perlman,The Devils Tomb,2009,Fire
Ron Perlman,Bunraku,2010,Knives or Cutting Instruments
Ron Perlman,Season of the Witch,2011,Fire
Ron Perlman,Conan the Barbarian,2011,Knives or Cutting Instruments
Ron Perlman,Drive,2011,Drowning
Ron Perlman,Justice League: The Flashpoint Paradox,2013,Other
Ron Perlman,13 Sins,2014,Firearms
Ron Perlman,Skin Trade,2014,Knives or Cutting Instruments
Ron Perlman,Poker Night,2014,Firearms
Ron Perlman,The Virginian,2014,Firearms
Ron Perlman,The Escape of Prisoner 614,2018,Ailment
Ron Perlman,Clover,2020,Poison
Ron Perlman,The Big Ugly,2020,Firearms
Ron Perlman,Dont Look Up,2021,Firearms
Ron Perlman,There Are No Saints,2022,Knives or Cutting Instruments
Ron Perlman,Guillermo del Toros Pinocchio,2022,Explosives
Bruce Dern,"Hush...Hush, Sweet Charlotte",1964,Knives or Cutting Instruments
Bruce Dern,Marnie,1964,Blunt Objects
Bruce Dern,The Wild Angels,1966,Firearms
Bruce Dern,The St. Valentines Day Massacre,1967,Firearms
Bruce Dern,The Trip,1967,Other
Bruce Dern,The War Wagon,1967,Firearms
Bruce Dern,Will Penny,1968,Blunt Objects
Bruce Dern,Psych-Out,1968,Fire
Bruce Dern,Hang Em High,1968,Strangulation
Bruce Dern,Castle Keep,1969,Other
Bruce Dern,The Cycle Savages,1969,Firearms
Bruce Dern,Bloody Mama,1970,Firearms
Bruce Dern,The Incredible 2-Headed Transplant,1971,Impact
Bruce Dern,The Cowboys,1972,Fire
Bruce Dern,The King of Marvin Gardens,1972,Firearms
Bruce Dern,Silent Running,1972,Other
Bruce Dern,Black Sunday,1977,Firearms
Bruce Dern,Coming Home,1978,Drowning
Bruce Dern,Tattoo,1981,Knives or Cutting Instruments
Bruce Dern,"Harry Tracy, Desperado",1982,Firearms
Bruce Dern,"After Dark, My Sweet",1990,Firearms
Bruce Dern,Wild Bill,1995,Firearms
Bruce Dern,Small Soldiers,1998,Other
Bruce Dern,The Glass House,2001,Knives or Cutting Instruments
Bruce Dern,Down in the Valley,2005,Firearms
Bruce Dern,The Astronaut Farmer,2006,Ailment
Bruce Dern,The Hard Easy,2006,Firearms
Bruce Dern,The Hole,2009,Other
Bruce Dern,Twixt,2011,Strangulation
Bruce Dern,Cut Bank,2014,Knives or Cutting Instruments
Bruce Dern,The Hateful Eight,2015,Firearms
Bruce Dern,White Boy Rick,2018,Other
Bruce Dern,Freaks,2018,Firearms
Bruce Dern,Badland,2019,Firearms
Bruce Dern,Death in Texas,2020,Firearms
Bruce Dern,Butch Cassidy and the Wild Bunch,2023,Firearms
Hugo Weaving,The Custodian,1993,Firearms
Hugo Weaving,Reckless Kelly,1993,Impact
Hugo Weaving,The Matrix,1999,Firearms
Hugo Weaving,The Matrix Revolutions,2003,Ailment
Hugo Weaving,Little Fish,2005,Narcotics
Hugo Weaving,V for Vendetta,2006,Firearms
Hugo Weaving,Transformers,2007,Impact
Hugo Weaving,Captain America: The First Avenger,2011,Other
Hugo Weaving,Transformers: Dark of the Moon,2011,Knives or Cutting Instruments
Hugo Weaving,Cloud Atlas,2012,Blunt Objects
Hugo Weaving,Mystery Road,2013,Firearms
Hugo Weaving,Mortal Engines,2018,Impact
Leonard Nimoy,Old Overland Trail,1953,Firearms
Leonard Nimoy,The Brain Eaters,1958,Firearms
Leonard Nimoy,Catlow,1971,Firearms
Leonard Nimoy,Invasion of the Body Snatchers,1978,Other
Leonard Nimoy,Star Trek II: The Wrath of Khan,1982,Other
Leonard Nimoy,The Pagemaster,1994,Impact
Leonard Nimoy,Land of the Lost,2009,Other
Leonard Nimoy,Transformers: Dark of the Moon,2011,Other
Leonard Nimoy,Star Trek Beyond,2016,Other
Diego Luna,Nicotina,2003,Fire
Diego Luna,Milk,2008,Strangulation
Diego Luna,Contraband,2012,Firearms
Diego Luna,Casa De Mi Padre,2012,Firearms
Diego Luna,Elysium,2013,Knives or Cutting Instruments
Diego Luna,Blood Father,2016,Other
Diego Luna,Rogue One,2016,Explosives
Diego Luna,Wander Darkly,2020,Car
William Fichtner,Heat,1995,Firearms
William Fichtner,Strange Days,1995,Firearms
William Fichtner,The Underneath,1995,Firearms
William Fichtner,Albino Alligator,1996,Firearms
William Fichtner,The Settlement,1999,Knives or Cutting Instruments
William Fichtner,Drowning Mona,2000,Drowning
William Fichtner,The Perfect Storm,2000,Drowning
William Fichtner,Blades of Glory,2007,Firearms
William Fichtner,The Dark Knight,2008,Firearms
William Fichtner,The Big Bang,2010,Strangulation
William Fichtner,The Lone Ranger,2013,Other
William Fichtner,Elysium,2013,Firearms
William Fichtner,All the Devils Men,2018,Knives or Cutting Instruments
William Fichtner,Turok,2008,Firearms
William Fichtner,Call of Duty: Modern Warfare 3,2011,Other
Fiona Medaris,Twixt,2011,Drowning
Bruce A. Miroglio,Twixt,2011,Knives or Cutting Instruments
Barry Pepper,Enemy of the State,1998,Firearms
Barry Pepper,Firestorm,1998,Firearms
Barry Pepper,Saving Private Ryan,1998,Explosives
Barry Pepper,The Green Mile,1999,Ailment
Barry Pepper,Flags of Our Fathers,2006,Fire
Barry Pepper,True Grit,2010,Firearms
Barry Pepper,The Lone Ranger,2013,Other
Jeffrey Tambor,Radioland Murders,1994,Strangulation
Jeffrey Tambor,Weapons of Mass Distraction,1997,Impact
Jeffrey Tambor,Theres Something About Mary,1998,Other
Jeffrey Tambor,Operation: Endgame,2010,Knives or Cutting Instruments
Jeffrey Tambor,Flypaper,2011,Firearms
Jeffrey Tambor,Lucky,2011,Firearms
Jeffrey Tambor,Branded,2012,Ailment
Jeffrey Tambor,The Hangover Part III,2013,Ailment
Jeffrey Tambor,The Accountant,2016,Other
John Goodman,C.H.U.D.,1984,Knives or Cutting Instruments
John Goodman,The Big Easy,1987,Firearms
John Goodman,Everybodys All-American,1988,Firearms
John Goodman,Barton Fink,1991,Fire
